First_pokemon,Second_pokemon,Winner
266,298,298
702,701,701
191,668,668
237,683,683
151,231,151
192,134,134
220,763,763
302,31,31
442,130,130
701,624,701
15,283,283
151,87,151
763,448,448
143,263,263
365,240,240
563,578,563
440,687,687
373,441,441
654,671,671
609,649,649
270,708,270
626,767,767
139,451,139
455,549,549
181,301,301
208,184,184
260,381,381
621,287,287
406,134,406
564,242,242
579,242,242
200,719,200
376,135,376
76,441,441
667,645,645
475,400,475
3,737,737
435,45,435
231,146,146
456,260,260
424,754,424
258,779,258
360,208,208
723,646,646
734,673,673
141,721,141
244,741,244
509,217,509
633,44,633
595,719,595
606,40,606
368,598,368
746,584,746
303,198,303
169,701,701
569,115,115
231,172,172
71,440,71
659,610,610
570,557,557
451,352,451
661,95,95
130,319,130
579,612,612
376,37,37
343,159,159
509,574,574
486,229,229
686,213,213
304,386,386
514,732,732
161,757,161
150,265,265
436,701,701
221,265,265
436,603,603
242,365,242
792,251,792
607,295,607
439,209,209
657,360,657
436,40,40
325,408,408
472,89,472
71,777,71
47,615,47
5,670,5
793,314,314
493,568,493
400,341,341
541,446,541
141,152,141
54,115,115
378,161,161
224,316,316
503,453,503
600,598,600
445,45,445
360,548,548
303,133,133
51,331,51
171,559,171
758,129,758
6,255,6
698,154,154
92,491,491
381,73,381
354,271,271
219,49,219
736,244,244
683,245,245
200,588,588
403,636,403
56,561,561
54,119,119
629,141,629
547,779,547
380,547,547
153,559,153
306,268,306
89,382,89
54,32,32
172,745,745
16,110,110
278,94,278
342,643,643
638,691,691
734,718,718
42,113,42
97,316,97
416,397,397
483,400,483
539,30,30
232,254,254
496,420,496
268,159,159
473,593,473
550,475,550
385,732,732
30,587,30
36,494,494
513,184,184
129,106,129
6,604,6
137,315,137
83,509,509
743,57,57
220,723,723
764,665,764
708,439,708
23,796,23
698,147,147
306,635,635
158,666,158
55,750,750
513,439,513
769,264,264
23,623,23
97,250,250
324,544,544
517,10,517
779,349,349
669,226,226
623,53,623
538,718,718
438,242,438
523,759,523
378,152,152
478,361,478
137,698,137
354,739,739
291,605,291
96,264,264
730,137,137
129,744,129
58,560,560
658,146,658
625,753,625
524,27,524
794,474,794
365,391,391
526,424,424
70,456,70
540,288,540
347,389,347
689,128,128
211,701,701
336,385,336
594,80,80
27,731,731
578,768,768
257,221,257
308,544,544
213,442,213
575,302,302
209,645,209
92,768,92
116,672,116
568,396,568
644,218,644
321,163,163
51,57,51
237,448,448
580,676,580
789,726,726
420,718,420
526,159,159
115,56,56
358,636,358
54,532,532
768,179,768
94,724,724
305,251,305
593,733,733
568,428,428
290,287,287
762,733,762
217,100,100
668,87,668
123,771,771
261,154,154
106,505,505
453,614,614
107,48,48
722,590,590
141,727,727
490,239,490
373,128,128
3,730,3
724,2,724
250,357,250
366,371,366
358,765,358
198,110,198
152,760,760
174,646,646
438,59,59
614,443,614
789,127,127
565,214,214
158,635,635
386,21,21
408,404,404
349,440,349
83,569,569
173,609,173
770,572,572
51,473,473
452,106,106
550,769,550
525,740,525
464,762,762
572,45,572
569,741,569
193,28,28
247,445,247
435,44,44
794,359,794
196,758,758
451,790,451
211,442,442
773,582,773
403,59,59
401,413,413
228,679,679
753,196,196
578,434,434
210,40,40
18,458,458
538,742,538
702,627,702
403,412,403
517,136,136
465,89,465
505,502,505
601,644,644
548,525,525
707,521,521
14,62,62
728,501,728
182,246,246
741,117,741
719,574,574
492,37,37
539,153,153
152,159,159
182,579,579
69,302,69
683,506,683
2,619,2
735,255,735
70,800,70
120,67,67
68,397,397
577,58,58
750,29,29
391,640,391
211,737,211
462,694,694
615,652,615
247,594,594
729,586,586
516,740,516
440,525,525
634,424,424
317,294,317
463,790,790
770,7,7
454,469,469
241,731,241
688,190,688
271,21,271
476,223,476
574,283,574
1,679,679
595,131,595
433,339,339
247,452,247
453,29,453
73,113,113
374,87,374
681,790,681
181,765,181
584,498,498
586,590,590
732,1,732
478,524,478
734,19,19
634,348,634
567,755,567
354,82,354
420,85,420
610,215,610
122,588,588
159,77,159
508,293,508
763,685,685
428,203,428
509,199,509
310,48,48
80,314,314
463,203,463
700,49,700
73,485,73
627,314,314
216,657,216
632,707,707
692,331,692
11,309,309
483,22,483
665,170,170
39,299,299
761,762,762
441,1,441
434,137,137
700,433,700
52,379,379
158,171,158
769,374,769
789,690,690
393,255,255
99,173,99
58,253,58
226,289,226
365,609,365
409,532,409
647,294,647
15,756,756
196,774,196
265,68,265
564,749,749
750,248,248
454,302,302
323,574,574
262,67,67
291,666,291
126,494,494
252,108,108
69,212,212
120,342,120
224,173,173
695,94,94
409,254,409
195,607,607
127,81,127
698,336,336
409,376,409
582,424,424
521,268,521
304,708,708
385,492,492
560,70,560
68,362,362
672,732,732
632,14,632
641,341,341
365,428,428
764,529,764
397,161,397
111,670,670
408,647,647
516,107,107
622,736,736
212,128,212
685,648,648
406,420,420
501,689,689
413,580,413
74,277,277
376,196,196
292,510,510
282,186,282
384,699,699
295,741,741
346,790,346
45,323,323
89,778,778
151,238,151
774,667,774
266,301,301
602,375,375
31,490,490
92,182,92
588,390,588
476,434,476
360,426,426
101,21,21
267,182,267
10,17,17
244,177,177
209,465,465
778,760,778
192,721,192
555,443,443
538,82,538
123,434,123
597,627,597
409,56,409
458,301,301
65,644,65
584,319,319
262,210,210
116,492,116
75,480,480
750,656,656
453,174,453
375,509,375
791,203,791
480,541,541
385,157,157
331,648,648
566,34,34
86,502,502
214,435,214
300,354,300
438,630,438
209,397,209
582,666,582
52,780,780
492,417,417
519,581,581
11,771,771
286,313,313
79,633,633
435,83,435
565,55,55
313,754,313
247,685,247
698,215,698
76,567,567
451,21,451
500,215,500
111,188,111
39,519,519
129,303,129
306,39,306
699,458,699
708,456,708
102,304,102
399,239,239
498,282,498
649,489,649
147,189,147
107,32,32
559,540,540
28,44,44
277,168,168
650,652,650
638,393,393
215,290,215
576,231,576
335,333,335
79,392,79
181,41,181
208,685,685
634,480,480
481,690,481
262,47,47
87,59,59
637,695,695
696,274,274
485,101,101
484,661,661
721,631,631
354,257,257
485,605,605
604,131,131
336,532,532
298,179,179
260,358,260
174,224,174
65,173,65
793,247,793
530,437,437
154,650,154
627,150,150
146,660,660
348,105,348
602,728,728
347,526,526
579,373,579
2,214,214
10,596,596
531,762,531
305,400,305
158,258,158
54,600,600
424,728,424
232,333,232
162,114,162
59,118,59
632,742,742
180,690,690
162,439,162
727,219,727
707,764,707
6,47,6
743,248,248
773,454,773
286,680,286
541,302,541
210,686,686
503,62,503
116,681,116
365,680,680
462,463,463
242,325,242
234,667,234
270,772,772
200,393,393
181,351,181
665,39,39
475,402,475
383,722,383
401,580,580
123,609,123
502,123,502
240,93,93
646,468,646
89,470,89
570,222,570
643,42,643
560,316,316
126,622,126
278,184,184
604,130,130
558,573,573
411,220,411
515,598,598
576,530,576
268,458,268
633,113,633
368,101,101
371,61,61
248,339,339
256,30,30
691,593,691
118,349,349
216,30,216
292,52,52
120,256,256
178,456,178
148,343,343
693,68,68
547,719,547
347,589,589
222,568,568
166,559,166
50,306,306
226,509,226
2,594,2
50,134,134
667,96,667
260,215,215
380,694,694
496,485,496
310,153,153
349,663,349
516,130,516
549,100,549
462,690,690
112,465,465
117,370,370
549,54,549
478,593,478
766,591,766
677,17,677
251,259,251
53,494,494
746,494,494
475,723,475
305,238,305
288,524,288
291,470,291
154,325,154
638,359,638
19,369,19
526,203,526
129,695,129
215,719,719
518,118,518
127,287,127
559,214,214
762,86,762
557,501,557
282,605,282
612,731,731
387,311,311
143,116,116
14,162,162
570,492,570
549,127,549
484,212,212
524,222,524
400,151,151
375,255,255
116,490,490
369,505,505
283,254,254
49,268,268
522,177,522
579,691,691
462,259,259
569,796,569
145,148,148
306,290,306
581,549,549
81,70,81
179,517,179
147,629,147
274,302,274
621,271,271
669,318,318
487,527,527
